,ER_diffRS_z_tf,ER_diffRS_z_orig,EU_diffRS_z_tf,EU_diffRS_z_orig,PE_z_tf,PE_z_orig
01,0.04174148453288787,0.026865298421753416,0.016817441512795756,-0.0211278003311505,0.1606022211941929,0.10316419379197445
11,0.19856606360171075,0.13193531995965904,0.06645984060827083,0.08544695958788517,0.3382721451291054,0.20544186132891426
19,0.10967275248958681,0.08311760836063774,0.056434076300873284,0.027283458950445427,0.1612750290083134,0.08946603246936066
